varos,sorszam,valasztokorzet,lista,szavazatok,fidesz_aranya_valasztokorben,fidesz_aranya_teruleten,fidesz_aranya_diff,helyi_megjelentek_szama,atjelentkezett_megjelentek_szama,atjelentkezettek_aranya
"Nagykálló",007,"Nagykálló - 007",FIDESZ-KDNP,245,40.8333333333333,47.0360602236448,-6.20272689031147,605,0,0.0
Monor,006,"Monor - 006",FIDESZ-KDNP,278,46.0264900662252,52.2336742970816,-6.20718423085646,607,0,0.0
"Körösladány",003,"Körösladány - 003",FIDESZ-KDNP,295,52.3978685612789,58.6052866378089,-6.20741807653003,568,0,0.0
"Győr",045,"Győr - 045",FIDESZ-KDNP,299,43.0215827338129,49.2317990574674,-6.21021632365445,702,0,0.0
"Jászapáti",005,"Jászapáti - 005",FIDESZ-KDNP,292,48.9112227805695,55.12419561152,-6.21297283095053,599,0,0.0
"Dunaföldvár",002,"Dunaföldvár - 002",FIDESZ-KDNP,282,46.6887417218543,52.9035425011306,-6.2148007792763,606,72,10.6194690265487
"Pilisvörösvár",008,"Pilisvörösvár - 008",FIDESZ-KDNP,412,40.4317958783121,46.6541566682935,-6.22236078998139,1036,0,0.0
"Örményes",002,"Örményes - 002",FIDESZ-KDNP,117,38.3606557377049,44.5868319338931,-6.22617619618819,311,0,0.0
"Budapest IV. kerület",009,"Budapest IV. kerület - 009",FIDESZ-KDNP,236,29.8356510745891,36.0669015020653,-6.23125042747614,794,0,0.0
Barcs,005,"Barcs - 005",FIDESZ-KDNP,257,38.9393939393939,45.1709745194713,-6.23158058007731,661,0,0.0
"Budapest XI. kerület",094,"Budapest XI. kerület - 094",FIDESZ-KDNP,240,33.8983050847458,40.1311278606996,-6.23282277595383,713,0,0.0
"Budapest XXI. kerület",009,"Budapest XXI. kerület - 009",FIDESZ-KDNP,228,31.3186813186813,37.554331361675,-6.23565004299373,732,0,0.0
"Nógrádmegyer",002,"Nógrádmegyer - 002",FIDESZ-KDNP,182,56.1728395061728,62.4147779620416,-6.2419384558688,343,0,0.0
"Sárbogárd",009,"Sárbogárd - 009",FIDESZ-KDNP,231,52.3809523809524,58.6235322722225,-6.24257989127008,442,0,0.0
"Kecskemét",058,"Kecskemét - 058",FIDESZ-KDNP,361,43.0787589498807,49.3213709560138,-6.24261200613317,841,0,0.0
"Abádszalók",001,"Abádszalók - 001",FIDESZ-KDNP,149,47.7564102564103,54.0067432062659,-6.25033294985563,320,28,8.04597701149425
"Budapest III. kerület",055,"Budapest III. kerület - 055",FIDESZ-KDNP,204,30.6766917293233,36.9315427352004,-6.25485100587712,667,0,0.0
"Tápiógyörgye",002,"Tápiógyörgye - 002",FIDESZ-KDNP,192,43.5374149659864,49.7946778415404,-6.25726287555402,447,0,0.0
"Csökmő",003,"Csökmő - 003",FIDESZ-KDNP,18,50.0,56.2673652456934,-6.26736524569342,37,0,0.0
"Diósd",008,"Diósd - 008",FIDESZ-KDNP,361,35.1509250243427,41.4217193957838,-6.27079437144107,1030,0,0.0
